"Pregunta","Tipo de Respuesta","Opción 1","Opción 2","Opción 3","Opción 4","Opción 5","Correcta 1","Correcta 2","Correcta 3","Correcta 4","Correcta 5"
"Una empresa quiere que sus empleados tengan acceso a la infraestructura de escritorio virtual para acceder de forma segura a los escritorios proporcionados por la empresa a través de los dispositivos personales de los empleados ¿qué servicio de AWS debe utilizar la empresa para cumplir estos requisitos?","Respuesta única","A Amazon AppStream 2.0","B AWS APPSYNc","C Servidor de archivos de Amazon FSx para Windows","D Amazon WorkSpaces","","false","false","false","true","false"
"Que es una responsabilidad de AWS bajo el modelo de responsabilidad compartida de AWS","Respuesta única","A  Diseñar una aplicación de un cliente para la recuperación ante desastres","B  Actualice los sistemas operativos invitados en las instancias Amazon EC2 implementadas","C Configure nuevos recursos dentro de una cuenta AWS","D Asegure la infraestructura física","","false","false","false","true","false"
"un desarrollador debe obtener acceso a los recursos de AWS desde la AWS CLI ¿qué características de AWS Identity and Access management IAM puede utilizar el desarrollador para la autenticación","Respuesta única","A Claves de acceso IAM","B Políticas de IAM","C Claves SSH","D Políticas de contraseña de cuenta","","true","false","false","false","false"
"Un sistema se recupera automáticamente de un error cuando una empresa lanza su carga de trabajo en la plataforma de servicios en la nube de AWS ¿qué pilar del marco de buena arquitectura de AWS demuestra esta situación?","Respuesta única","A Fiabilidad","B Optimización de costes","C Eficiencia del rendimiento","D Excelencia operativa","","true","false","false","false","false"
"Qué opción es una capacidad fundamental de aws Cloud adoption framework (AWS CAF) para la perspectiva de las operaciones?","Respuesta única","A Gestión del rendimiento y la capacidad","B Gestión de la cartera de aplicaciones","C Gestión de identidades y accesos","D Gestión de productos","","true","false","false","false","false"
"Qué tareas requieren el uso del usuario raíz de la cuenta de AWS? SELECCIONE DOS","Respuesta múltiple","A Cambio de un plan de AWS support","B Modificación de un tipo de instancia Amazon EC2","C Agrupación de recursos en AWS Systems Manager","D Ejecución de aplicaciones en Amazon Elastic Kubernetes Service (Amazon EKS)","E Cierre de una cuenta de AWS","true","false","false","false","true"
"Qué servicio de base de datos AWS proporciona almacenamiento de datos en memoria?","Respuesta única","A Amazon DynamoDB","B Amazon elastiCache","C Amazon RDS","D Flujo de tiempo en Amazon","","false","true","false","false","false"
"Cuál es una práctica recomendada de IAM para las claves de acceso de un usuario raíz de la cuenta AWS?","Respuesta única","A Elimine todas las claves de acceso de usuario root  si es posible.","B Utilice las credenciales de usuario raíz para obtener acceso a información confidencial almacenada en AWS","C Permita que el grupo de administradores del sistema utilice las credenciales de usuario raíz para el acceso diario.","D Utilice credenciales de usuario raíz para acceder a instancias de base de datos de producción.","","true","false","false","false","false"
"Cuáles de los siguientes son los principios de seguridad en AWS Well Architected Framework? SELECCIONE DOS","Respuesta múltiple","A analizar y atribuir gastos","B monitorice  alerte y audite acciones y cambios en los recursos de AWS","C implemente globalmente en minutos","D Proteja los datos en tránsito y en reposo","E Realizar operaciones como código","false","true","false","true","false"
"Qué beneficio ofrece Amazon ReKognition?","Respuesta única","A La capacidad de colocar marcas de agua en las imágenes","B la capacidad de detectar objetos que aparecen en imágenes","C la capacidad de cambiar el tamaño de millones de imágenes automáticamente","D La capacidad de pujar en trabajos de detección de objetos.","","false","true","false","false","false"
"qué servicio de AWS ofrece el medio MÁS rentable para almacenar imágenes estáticas?","Respuesta única","A Amazon S3","B Amazon DynamoDB","C AWS Snowball Edge","D Amazon Elastic Block Store (Amazon EBS)","","true","false","false","false","false"
"Una empresa está trasladando su oficina y debe establecer una conexión cifrada con AWS ? ¿Qué servicio de AWS cumplirá este requisito?","Respuesta única","A AWS VPN","B Amazon Route 53","C AWS Direct Connect","D Amazon Connect","","true","false","false","false","false"
"Qué características se puede utilizar para proteger los buckets de Amazon S3 de sobreescrituras o eliminaciones accidentales?","Respuesta única","A Directivas de ciclo de vida","B Control de versiones de buckets","C Cifrado del lado del servidor","D Puntos de acceso S3","","false","true","false","false","false"
"una gran empresa tiene una carga de trabajo que requiere que el hardware permanezca local. La empresa desea utilizar los mismos servicios de plano de administración y control que utiliza actualmente en AWS. ¿Qué servicio de AWS debe utilizar la empresa para cumplir estos requisitos?","Respuesta única","A Granja de dispositivos de AWS","B AWS Fargate","C Puestos avanzados de AWS","D Estación terrestre de AWS","","false","false","true","false","false"
"Qué servicio o característica de AWS puede utilizar un desarrollador para obtener acceso a los servicios de AWS mediante programación?","Respuesta única","A Consola de administración de AWS","B Kits de desarrollo de software SDK de AWS","C AWS CodeDeploy","D AWS CodePipeline","","false","true","false","false","false"
"Una empresa desea monitorizar continuamente la actividad de la cuenta de AWS  incluidas las acciones realizadas a través de la consola de administración de AWS  los kits de desarrollo de software SDK de AWS y las herramientas de línea de comandos. ¿Qué servicio de AWS cumple estos requisitos?","Respuesta única","A  AWS Trusted Advisor","B Amazon Inspector","C Amazon CloudWatch","D AWS CloudTrail","","false","false","false","true","false"
"Una empresa desea mejorar su postura de seguridad y auditoría limitando el acceso entrante de Amazon EC2. ¿Qué debe usar la empresa para acceder a las instancias de forma remota en lugar de abrir puertos SSH entrantes y administrar claves SSH?","Respuesta única","A Pares de claves EC2","B Administrador de sesiones de AWS System Manager","C AWS Identity and Access Management IAM","D ACL de red","","false","true","false","false","false"
